2026-03-29 11:37:24,340 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-29 11:43:28,300 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-29 11:43:28,361 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-29 11:43:28,440 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-29 11:43:28,741 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-29 11:43:28,773 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-29 11:44:05,112 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-29 11:49:55,884 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-29 11:49:55,903 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-29 11:49:55,909 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-29 11:49:55,993 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-29 11:49:56,194 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-29 11:49:56,292 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-29 11:50:08,593 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-29 11:50:08,979 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-29 11:50:08,996 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-29 11:50:09,142 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-29 11:50:09,263 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-29 11:50:10,281 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-29 11:50:50,359 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-29 11:50:50,466 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-29 11:50:50,476 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-29 11:50:51,228 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-29 11:50:51,969 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-29 11:50:52,354 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-29 11:51:36,488 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-29 11:56:49,757 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-29 11:56:49,797 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-29 11:56:49,991 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-29 11:56:50,215 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-29 11:56:51,258 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-29 11:56:51,304 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-29 11:56:52,229 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-29 12:12:22,062 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-29 12:12:22,377 | INFO | app.database.session | Database tables initialized
2026-03-29 12:12:22,890 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-29 12:12:22,914 | INFO | app.database.session | Database tables initialized
2026-03-29 12:12:23,253 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-29 12:12:23,333 | INFO | app.database.session | Database tables initialized
2026-03-29 12:12:23,360 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-29 12:12:23,392 | INFO | app.database.session | Database tables initialized
2026-03-29 12:12:23,818 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-29 12:12:23,839 | INFO | app.database.session | Database tables initialized
2026-03-29 12:12:23,856 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-29 12:12:23,869 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-29 12:12:23,874 | INFO | app.database.session | Database tables initialized
2026-03-29 12:12:23,918 | INFO | app.database.session | Database tables initialized
2026-03-29 12:12:24,058 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-29 12:12:24,070 | INFO | app.database.session | Database tables initialized
2026-03-29 12:12:24,103 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-29 12:12:24,112 | INFO | app.database.session | Database tables initialized
2026-03-29 12:12:24,355 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-29 12:12:24,365 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-29 12:12:24,367 | INFO | app.database.session | Database tables initialized
2026-03-29 12:12:24,374 | INFO | app.database.session | Database tables initialized
2026-03-29 12:12:24,535 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-29 12:12:24,543 | INFO | app.database.session | Database tables initialized
2026-03-29 12:12:36,880 | INFO | app.main | 🛑 Application shutdown
2026-03-29 12:12:36,987 | INFO | app.main | 🛑 Application shutdown
2026-03-29 12:12:36,987 | INFO | app.main | 🛑 Application shutdown
2026-03-29 12:12:36,988 | INFO | app.main | 🛑 Application shutdown
2026-03-29 12:12:36,988 | INFO | app.main | 🛑 Application shutdown
2026-03-29 12:12:36,989 | INFO | app.main | 🛑 Application shutdown
2026-03-29 12:12:36,990 | INFO | app.main | 🛑 Application shutdown
2026-03-29 12:12:36,988 | INFO | app.main | 🛑 Application shutdown
2026-03-29 12:12:37,063 | INFO | app.main | 🛑 Application shutdown
2026-03-29 12:12:37,062 | INFO | app.main | 🛑 Application shutdown
2026-03-29 12:12:37,089 | INFO | app.main | 🛑 Application shutdown
2026-03-29 12:12:37,494 | INFO | app.main | 🛑 Application shutdown
2026-03-29 12:12:58,422 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-29 12:12:58,464 | INFO | app.database.session | Database tables initialized
2026-03-29 12:12:58,479 | INFO | app.main | 🚀 Starting Petroleum Data API v1.0.0
2026-03-29 12:12:58,510 | INFO | app.database.session | Database tables initialized
